"filename", "language", "Rust", "Markdown", "comment", "blank", "total"
"/Users/hakeen/Learning/blockchain_mini/README.md", "Markdown", 0, 63, 0, 20, 83
"/Users/hakeen/Learning/blockchain_mini/docs/research/Consensus.md", "Markdown", 0, 41, 0, 27, 68
"/Users/hakeen/Learning/blockchain_mini/docs/research/DataBase.md", "Markdown", 0, 0, 0, 1, 1
"/Users/hakeen/Learning/blockchain_mini/docs/research/Devp2p.md", "Markdown", 0, 164, 0, 35, 199
"/Users/hakeen/Learning/blockchain_mini/docs/research/Discv4.md", "Markdown", 0, 39, 0, 20, 59
"/Users/hakeen/Learning/blockchain_mini/docs/research/ECDSA.md", "Markdown", 0, 12, 0, 11, 23
"/Users/hakeen/Learning/blockchain_mini/docs/research/Reth_of_paradigm.md", "Markdown", 0, 10, 0, 4, 14
"/Users/hakeen/Learning/blockchain_mini/docs/research/broadcastMechanism.md", "Markdown", 0, 48, 0, 21, 69
"/Users/hakeen/Learning/blockchain_mini/docs/research/chooseHashFunc.md", "Markdown", 0, 45, 0, 14, 59
"/Users/hakeen/Learning/blockchain_mini/docs/research/network.md", "Markdown", 0, 19, 0, 6, 25
"/Users/hakeen/Learning/blockchain_mini/docs/research/rust-libp2p.md", "Markdown", 0, 53, 0, 24, 77
"/Users/hakeen/Learning/blockchain_mini/docs/research/storage.md", "Markdown", 0, 2, 0, 1, 3
"/Users/hakeen/Learning/blockchain_mini/docs/research/structureDesign.md", "Markdown", 0, 58, 0, 17, 75
"/Users/hakeen/Learning/blockchain_mini/docs/research/tokennomics.md", "Markdown", 0, 104, 0, 36, 140
"/Users/hakeen/Learning/blockchain_mini/docs/research/tx_life_time.md", "Markdown", 0, 32, 0, 34, 66
"/Users/hakeen/Learning/blockchain_mini/docs/research/workerMechenism.md", "Markdown", 0, 0, 0, 1, 1
"/Users/hakeen/Learning/blockchain_mini/src/Account/account.rs", "Rust", 16, 0, 5, 4, 25
"/Users/hakeen/Learning/blockchain_mini/src/Account/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/hakeen/Learning/blockchain_mini/src/Blockchain/blockchain.rs", "Rust", 23, 0, 4, 6, 33
"/Users/hakeen/Learning/blockchain_mini/src/Blockchain/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/hakeen/Learning/blockchain_mini/src/Miner/miner.rs", "Rust", 20, 0, 4, 8, 32
"/Users/hakeen/Learning/blockchain_mini/src/Miner/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/hakeen/Learning/blockchain_mini/src/Networking/discv.rs", "Rust", 26, 0, 5, 7, 38
"/Users/hakeen/Learning/blockchain_mini/src/Networking/mod.rs", "Rust", 1, 0, 0, 1, 2
"/Users/hakeen/Learning/blockchain_mini/src/TransactionPool/mod.rs", "Rust", 1, 0, 0, 1, 2
"/Users/hakeen/Learning/blockchain_mini/src/TransactionPool/transactionpool.rs", "Rust", 43, 0, 15, 13, 71
"/Users/hakeen/Learning/blockchain_mini/src/Validation/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/hakeen/Learning/blockchain_mini/src/Validation/transactionValidation.rs", "Rust", 59, 0, 10, 18, 87
"/Users/hakeen/Learning/blockchain_mini/src/elementals/address.rs", "Rust", 29, 0, 12, 11, 52
"/Users/hakeen/Learning/blockchain_mini/src/elementals/block.rs", "Rust", 20, 0, 4, 9, 33
"/Users/hakeen/Learning/blockchain_mini/src/elementals/body.rs", "Rust", 0, 0, 0, 1, 1
"/Users/hakeen/Learning/blockchain_mini/src/elementals/head.rs", "Rust", 13, 0, 0, 3, 16
"/Users/hakeen/Learning/blockchain_mini/src/elementals/mod.rs", "Rust", 6, 0, 0, 2, 8
"/Users/hakeen/Learning/blockchain_mini/src/elementals/node.rs", "Rust", 55, 0, 14, 23, 92
"/Users/hakeen/Learning/blockchain_mini/src/elementals/peerid.rs", "Rust", 23, 0, 2, 11, 36
"/Users/hakeen/Learning/blockchain_mini/src/elementals/transaction.rs", "Rust", 25, 0, 12, 12, 49
"/Users/hakeen/Learning/blockchain_mini/src/main.rs", "Rust", 9, 0, 8, 3, 20
"Total", "-", 373, 690, 95, 405, 1563
